"href","update_time","date","新增本土新冠肺炎确诊病例","新增本土无症状感染者","新增境外输入性新冠肺炎确诊病例","新增境外输入性无症状感染者","治愈出院","解除医学观察无症状感染者","新增本土确诊含无症状","无症状闭环隔离管控人数","无症状风险人群筛查人数","非管控区域病例比例"
"http://wsjkw.sh.gov.cn/xwfb/20220327/d890a58b77654f1fac71dad84eedce4c.html","2022-03-27",2022-03-26,45,2631,6,2,0,0,2676,2363,268,10.1862409730141
"http://wsjkw.sh.gov.cn/xwfb/20220326/210fddd35d1248308b02acaa25950e09.html","2022-03-26",2022-03-25,38,2231,9,2,21,110,2269,1773,458,20.5289108023308
"http://wsjkw.sh.gov.cn/xwfb/20220325/f2f2ffe5d70047c5bdc295baf6f211ec.html","2022-03-25",2022-03-24,29,1580,12,5,63,209,1609,1455,125,7.91139240506329
"http://wsjkw.sh.gov.cn/xwfb/20220324/197cda6414014e408b25537f0fd8cd97.html","2022-03-24",2022-03-23,4,979,10,3,81,230,983,878,101,10.3166496424923
"http://wsjkw.sh.gov.cn/xwfb/20220323/560de9823a914bda8e0fb31a7b91cccf.html","2022-03-23",2022-03-22,4,977,10,4,23,79,981,886,91,9.31422722620266
"http://wsjkw.sh.gov.cn/xwfb/20220322/92cb33af745b4740be7edf66f086bad2.html","2022-03-22",2022-03-21,31,865,8,3,140,186,896,749,116,13.4104046242775
"http://wsjkw.sh.gov.cn/xwfb/20220321/edd50169c9244fca9bf864013dc0da81.html","2022-03-21",2022-03-20,24,734,17,2,44,53,758,652,82,11.1716621253406
"http://wsjkw.sh.gov.cn/xwfb/20220320/309cf8bf03ed462bb59d5c783d2c61aa.html","2022-03-20",2022-03-19,17,492,5,2,121,68,509,0,492,100
"http://wsjkw.sh.gov.cn/xwfb/20220318/dc6e1aca667a45a682f32ac514c6062e.html","2022-03-18",2022-03-17,57,203,10,2,54,38,260,0,203,100
"http://wsjkw.sh.gov.cn/xwfb/20220316/18a627b694eb471f9a415dfa20b6d0b4.html","2022-03-16",2022-03-15,5,197,10,1,33,13,202,0,197,100
"http://wsjkw.sh.gov.cn/xwfb/20220315/e2b0122c52304fe0a41a8b726b3413d2.html","2022-03-15",2022-03-14,9,130,12,3,15,9,139,0,130,100
"http://wsjkw.sh.gov.cn/xwfb/20220313/bdd4d48332a248b3a76b5e1ab786daf9.html","2022-03-13",2022-03-13,6,55,0,0,0,0,61,0,55,100
"http://wsjkw.sh.gov.cn/xwfb/20220313/ac598c0104ad49f8913df20d794d68d1.html","2022-03-13",2022-03-12,1,64,13,1,26,11,65,0,64,100
"http://wsjkw.sh.gov.cn/xwfb/20220312/559cc1eb3e9646b6a08b28ce340a3463.html","2022-03-12",2022-03-11,5,78,22,9,20,3,83,0,78,100
"http://wsjkw.sh.gov.cn/xwfb/20220311/a7bb01fac3664085a882d46dc4e194ba.html","2022-03-11",2022-03-10,11,64,32,10,17,7,75,0,64,100
"http://wsjkw.sh.gov.cn/xwfb/20220310/c7a3763da0cd46cbb563df4064ee1a15.html","2022-03-10",2022-03-09,4,76,42,16,18,13,80,0,76,100
"http://wsjkw.sh.gov.cn/xwfb/20220309/077a50ff4cf4422d836e857126008ff6.html","2022-03-09",2022-03-08,3,62,26,10,32,7,65,0,62,100
"http://wsjkw.sh.gov.cn/xwfb/20220308/a2f9fa49a4274509a1a42fa871bf77ee.html","2022-03-08",2022-03-07,4,51,36,10,27,10,55,0,51,100
"http://wsjkw.sh.gov.cn/xwfb/20220307/6490dbd707674b278f40159595aa5cd9.html","2022-03-07",2022-03-06,3,45,32,16,0,0,48,0,45,100
"http://wsjkw.sh.gov.cn/xwfb/20220306/ce44bea5ad8e41bf85165cdf35c84bdb.html","2022-03-06",2022-03-05,0,28,25,10,0,0,28,0,28,100
"http://wsjkw.sh.gov.cn/xwfb/20220305/1fd23e48cc4f479ea8fc56c9e1052759.html","2022-03-05",2022-03-04,3,16,24,10,0,0,19,0,16,100
"http://wsjkw.sh.gov.cn/xwfb/20220304/164e0c9e7efe41fd91d6eb9e10967cdb.html","2022-03-04",2022-03-03,2,14,43,21,0,0,16,0,14,100
"http://wsjkw.sh.gov.cn/xwfb/20220302/e0c9d63937ed4cfba163c3c97ae05e1d.html","2022-03-02",2022-03-01,1,1,37,17,0,0,2,0,1,100
