district,2022/3/27,2022/3/28,2022/3/29,2022/3/30,2022/3/31,2022/4/1,2022/4/2,2022/4/3,2022/4/4,2022/4/5,2022/4/6,2022/4/7,2022/4/8,2022/4/9,2022/4/10,2022/4/11,2022/4/12,2022/4/13,2022/4/14,2022/4/15,2022/4/16,2022/4/17,2022/4/18,2022/4/19,2022/4/20,2022/4/21,2022/4/22,2022/4/23,2022/4/24,2022/4/25,2022/4/26,2022/4/27,2022/4/28,2022/4/29,2022/4/30,2022/5/1,2022/5/2
PudongNew,2,33,162,246,173,77,95,126,197,155,139,251,172,380,127,144,104,114,159,200,136,40,54,61,26,17,3,3,21,0,5,0,5,0,0,0,0
Huangpu,1,0,6,13,5,5,21,10,7,13,7,6,7,31,20,10,14,13,6,8,13,15,35,15,10,17,8,1,2,1,0,0,0,0,0,0,0
Xuhui,6,5,25,15,17,35,35,27,8,19,16,12,20,28,26,14,14,18,46,17,27,14,16,34,18,12,24,7,7,0,1,2,0,0,0,0,0
Changning,0,7,2,2,42,0,3,13,1,5,30,11,9,17,4,5,22,11,13,43,11,16,15,4,35,1,1,0,2,0,0,0,0,0,0,0,0
Jingan,5,3,7,7,3,11,24,25,1,11,25,5,23,21,27,9,46,13,9,9,18,10,21,13,10,9,8,2,6,1,6,0,1,0,0,0,0
Putuo,4,2,5,3,4,11,35,21,3,6,26,6,8,20,6,16,19,11,18,21,21,15,7,7,11,6,4,1,0,0,0,0,0,0,0,0,0
Hongkou,1,2,7,1,8,3,24,9,3,7,1,0,2,5,6,14,12,16,40,1,36,22,30,12,28,4,1,2,4,4,0,0,0,0,0,0,0
Yangpu,0,0,3,2,3,10,16,29,9,10,9,16,5,19,7,12,8,3,1,4,5,6,1,2,5,3,3,6,4,0,0,0,0,0,0,0,0
Minhang,5,2,20,18,52,57,39,46,8,14,20,60,23,31,46,37,20,34,14,32,16,3,6,8,26,18,12,6,17,1,0,0,0,0,0,0,0
Baoshan,5,7,30,1,4,9,28,22,1,5,9,4,6,23,16,3,14,11,19,3,7,7,9,4,20,10,6,7,2,11,1,0,0,0,0,0,119
Jiading,3,2,7,8,6,7,18,9,3,5,5,5,3,6,4,12,1,4,4,4,8,4,6,0,5,3,1,2,4,0,0,0,0,0,0,0,0
Jinshan,0,1,2,0,3,3,0,4,1,1,3,1,2,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Songjiang,1,2,13,6,4,19,3,0,5,8,1,2,4,1,9,3,3,4,4,3,3,0,1,0,1,0,2,1,0,0,0,0,1,0,0,0,0
Qingpu,0,2,0,3,0,0,3,2,1,6,4,0,7,2,1,3,7,5,6,9,3,2,12,1,4,3,1,6,0,0,0,0,0,0,0,0,0
Fengxian,0,0,1,4,5,2,5,3,2,2,0,1,1,1,3,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chongming,0,0,1,0,1,1,0,1,0,0,0,0,2,1,0,0,13,1,3,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shanghai,33,68,291,329,330,250,349,347,250,267,295,380,294,587,303,282,299,259,346,357,307,155,216,161,199,103,74,44,69,18,13,2,7,0,0,0,2
